Date,CAD,EUR,JPY,KRW,MXN,NOK,PLN,CHF,GBP,USD,,
10-Dec-2015,0.528517,0.786506,0.00591012,0.000610024,0.0420925,0.0833426,0.181493,0.728787,1.09074,0.71873,,
9-Dec-2015,0.529925,0.788226,0.00585813,0.000612613,0.0423386,0.0826488,0.181446,0.726463,1.08584,0.720433,,
8-Dec-2015,0.531512,0.785701,0.00586718,0.000619414,0.0424581,0.0821219,0.181178,0.724367,1.08373,0.722484,,
7-Dec-2015,0.535523,0.781906,0.00586781,0.000625332,0.0427926,0.0838366,0.181513,0.722301,1.08963,0.723384,,
4-Dec-2015,0.539564,0.786173,0.00588195,0.000617721,0.0432442,0.0849965,0.182071,0.721488,1.09006,0.721127,,
3-Dec-2015,0.545011,0.77897,0.0059209,0.00062968,0.043687,0.084911,0.18069,0.712879,1.09009,0.729988,,
2-Dec-2015,0.545018,0.772706,0.00592372,0.00062874,0.0438818,0.0845362,0.180658,0.709415,1.09462,0.728144,,
1-Dec-2015,0.544304,0.771514,0.00591022,0.000628697,0.0440839,0.0838461,0.18084,0.707468,1.09744,0.727843,,
30-Nov-2015,0.546595,0.770971,0.00593465,0.000633497,0.0439402,0.0838607,0.18082,0.706794,1.0936,0.728775,,
25-Nov-2015,0.547353,0.770697,0.00594702,0.000630005,0.0439772,0.0839445,0.181035,0.71306,1.09649,0.728034,,
24-Nov-2015,0.545809,0.773648,0.00591741,0.00062731,0.0441008,0.0840104,0.181495,0.713589,1.09753,0.726362,,
23-Nov-2015,0.544267,0.772849,,0.000628384,0.0439777,0.0842296,0.182291,0.711537,1.09963,0.726977,,
20-Nov-2015,0.543357,0.77459,0.00589498,0.000622512,0.043891,0.0841622,0.182524,0.713105,1.10681,0.724729,,
19-Nov-2015,0.545851,0.773932,0.00587571,0.000617165,0.0436917,0.0836179,0.182166,0.712426,1.10546,0.724181,,
18-Nov-2015,0.543461,0.774015,0.00588122,0.000620667,0.0432893,0.0838272,0.182324,0.71496,1.10391,0.725684,,
17-Nov-2015,0.544671,0.774343,0.00588199,0.000618845,0.0433085,0.0838304,0.182456,0.716548,1.10317,0.72572,,
16-Nov-2015,0.542183,0.776321,0.00590905,0.000623419,,0.0834306,0.18291,0.719874,1.10008,0.723977,,
13-Nov-2015,0.54193,0.7777,0.00589508,0.000625813,0.0431614,0.0833373,0.183432,0.721491,1.09972,0.722501,,
12-Nov-2015,0.544499,0.777168,0.00589893,0.000627438,0.0432819,0.0833514,0.183741,0.72096,1.10025,0.724565,,
11-Nov-2015,,0.776599,0.00589771,0.000625721,0.0433509,0.084202,,0.72003,1.09873,0.72471,,
10-Nov-2015,0.546639,0.776321,0.00588446,0.000628012,0.0432302,0.0836871,0.183166,0.72147,1.09487,0.724789,,
9-Nov-2015,0.545215,0.779938,0.00586954,0.000635669,0.042903,0.083977,0.182748,0.721752,1.09319,0.723773,,
6-Nov-2015,0.541618,0.783061,0.00592264,0.00063388,0.0428065,0.0844594,0.184462,0.723607,1.0912,0.720785,,
5-Nov-2015,0.54639,0.782958,0.00592076,0.000636947,0.04335,0.0841303,0.184825,0.722176,1.10721,0.719432,,
4-Nov-2015,0.545217,0.784831,0.00592182,0.000633249,0.0434597,0.0841421,0.184619,0.724901,1.10673,0.717724,,
3-Nov-2015,0.546897,0.786719,,0.000628684,0.0436529,0.084222,0.185315,0.723857,1.10374,0.716763,,
2-Nov-2015,0.546322,0.789239,0.00593947,0.000628323,,0.0845277,0.185387,0.724832,1.10638,0.715409,,
30-Oct-2015,0.547186,0.788689,0.00592276,0.000626704,0.0433228,0.0839658,0.184754,0.72392,1.09881,0.715884,,
29-Oct-2015,0.545024,0.784552,0.00594744,0.000633593,0.0431838,0.0837569,0.184173,0.725194,1.0955,0.717797,,
28-Oct-2015,0.543872,0.79267,0.0059417,0.000632146,0.0434693,0.0841472,0.184176,0.726194,1.09343,0.715083,,
27-Oct-2015,0.539921,0.790762,0.0059196,0.000630377,0.0431852,0.0844558,0.184879,0.726387,1.09617,0.71491,,
26-Oct-2015,0.545187,0.78844,0.00591043,0.000635132,0.0433974,0.0854585,0.185289,0.729396,1.09863,0.716048,,
23-Oct-2015,0.542123,0.791491,0.00590445,0.00062738,0.0432417,0.0855436,0.186933,0.732995,1.09883,0.714084,,
22-Oct-2015,0.541309,0.801486,0.0059088,0.00062624,0.0428635,0.0864235,0.187395,0.736221,1.09663,0.708465,,
21-Oct-2015,0.539646,0.803636,0.00590325,0.000626316,0.042485,0.0867625,0.18811,0.738754,1.09369,0.7078,,
20-Oct-2015,0.544941,0.804078,0.00591637,0.000628282,0.042689,0.0870643,0.189115,0.743669,1.09445,0.707006,,
19-Oct-2015,0.544797,0.80252,0.00593519,0.000627272,0.0429431,0.0873724,0.190025,0.740564,1.09717,0.708127,,
16-Oct-2015,0.547236,0.803993,0.0059434,0.000624274,0.0431657,0.0873861,0.190033,0.741555,1.09339,0.70774,,
15-Oct-2015,0.546541,0.806742,0.00592752,0.000613213,0.042938,0.0875279,0.190878,0.74175,1.09223,0.705256,,
14-Oct-2015,0.544691,0.806822,0.00591434,0.000616225,0.0426478,0.0873179,0.190449,0.739818,1.08613,0.707118,,
13-Oct-2015,0.545517,0.805743,0.00591079,0.000617403,0.0427143,0.0869287,0.190437,0.738002,1.07983,0.708408,,
9-Oct-2015,0.547258,0.804975,0.00590548,,0.0431526,0.0875975,0.190237,0.737616,1.08667,0.70848,,
8-Oct-2015,0.545174,0.798705,0.00591325,0.000609087,0.042892,0.0866417,0.189039,0.733473,1.08898,0.709708,,
7-Oct-2015,0.545252,0.800776,0.00592621,0.000610225,0.0428802,0.0864961,0.18902,0.734743,1.08843,0.71079,,
6-Oct-2015,0.545816,0.799841,0.00591531,0.000607983,0.0427029,0.0853025,0.188075,0.731039,1.08054,0.712617,,
5-Oct-2015,0.543988,0.799787,0.00593173,0.000602972,0.0426383,0.0852016,0.188658,0.732388,1.08131,0.711808,,
2-Oct-2015,0.540183,0.796599,0.00595576,0.000605427,0.042447,0.0846324,0.187703,0.72896,1.08133,0.713798,,
1-Oct-2015,0.539292,0.796469,0.00594118,0.000599908,0.042365,0.0842244,0.187904,0.730045,1.08076,0.71413,,
30-Sep-2015,0.531869,0.798085,0.00593902,0.000596388,0.0421397,0.0837932,0.188691,0.731852,1.08275,0.712385,,
29-Sep-2015,0.530731,0.797578,0.00594463,,0.0416856,0.0837611,0.18833,0.731773,1.0814,0.711869,,
28-Sep-2015,0.533763,0.796601,0.00592326,,0.0419326,0.0831355,0.188363,0.727418,1.08379,0.713161,,
25-Sep-2015,0.535451,0.795612,0.00592845,0.000598665,0.0420702,0.0836339,0.188664,0.731334,1.08586,0.713489,,
24-Sep-2015,0.532848,0.79969,0.005919,0.000599078,0.0415664,0.084507,0.188767,0.73017,1.08624,0.711405,,
23-Sep-2015,0.535406,0.794876,,0.000605584,0.0418234,0.0860535,0.188591,0.730423,1.09172,0.712893,,
22-Sep-2015,0.536299,0.794345,,0.000607074,0.0422077,0.0862062,0.190207,0.731332,1.09948,0.712098,,
21-Sep-2015,0.535183,0.797758,,0.000607798,0.0424965,0.08652,0.19124,0.733166,1.10147,0.709118,,
18-Sep-2015,0.536306,0.805132,0.00588548,0.000602788,0.0426314,0.0871643,0.191921,0.738382,1.10261,0.705081,,
17-Sep-2015,0.537299,0.801436,0.00587514,0.000600715,0.0427621,0.0869571,0.190817,0.731451,1.10034,0.708483,,
16-Sep-2015,0.53957,0.798362,0.00590913,0.000601358,,0.0864168,0.190552,0.728979,1.09714,0.711046,,
15-Sep-2015,0.534547,0.802554,0.00587723,0.000600313,0.0422721,0.0867019,0.190389,0.730897,1.0938,0.70897,,
14-Sep-2015,0.534175,0.801355,0.00587283,0.000598792,0.0421513,0.0865676,0.190941,0.731075,1.09383,0.70885,,
