Date,Bullish,Bearish,,
05/08/2013,0.65,0.74,,
04/08/2013,1.48,0.5,,
03/08/2013,1.47,0.19,,
02/08/2013,1.23,0.49,,
01/08/2013,1.14,0.65,,
31/07/2013,1.2,0.7,,
30/07/2013,0.74,0.97,,
29/07/2013,0.67,1.03,,
28/07/2013,1.11,0.84,,
27/07/2013,1.18,0.75,,
26/07/2013,1.01,0.71,,
25/07/2013,1.19,0.38,,
24/07/2013,1.14,0.74,,
23/07/2013,0.96,0.64,,
22/07/2013,1.16,0.67,,
21/07/2013,0.11,0.58,,
20/07/2013,1.18,0.48,,
19/07/2013,1.55,0.36,,
18/07/2013,1.35,0.55,,
16/07/2013,0.99,0.68,,
15/07/2013,1.38,0.4,,
14/07/2013,1.69,0.06,,
13/07/2013,1.28,0,,
12/07/2013,1.32,0.36,,
11/07/2013,1.7,0.37,,
10/07/2013,1.44,0.25,,
09/07/2013,1.61,0.14,,
08/07/2013,1.34,0.47,,
07/07/2013,1.93,0.43,,
06/07/2013,1.61,0.09,,
05/07/2013,1.01,0.39,,
04/07/2013,0.75,1.21,,
03/07/2013,1.07,0.49,,
02/07/2013,0.69,1.4,,
01/07/2013,1.52,0.43,,
30/06/2013,1.39,0.7,,
29/06/2013,0,1.87,,
28/06/2013,1.07,0.56,,
27/06/2013,0.9,0.8,,
26/06/2013,1.03,0.66,,
25/06/2013,1.13,0.44,,
24/06/2013,0.81,0.75,,
23/06/2013,0.18,1.06,,
22/06/2013,0.37,0.08,,
21/06/2013,0.97,0.81,,
20/06/2013,1.33,0.74,,
19/06/2013,1.22,0.56,,
18/06/2013,1.08,1.07,,
17/06/2013,1.06,0.62,,
16/06/2013,2.21,0,,
15/06/2013,0.82,0.95,,
14/06/2013,1.13,0.98,,
13/06/2013,1.27,0.57,,
12/06/2013,1.23,0.5,,
11/06/2013,1.39,0.35,,
10/06/2013,0.97,0.56,,
09/06/2013,0,2.25,,
08/06/2013,0.98,0,,
07/06/2013,1.16,0.53,,
06/06/2013,1.3,0.6,,
05/06/2013,1.22,0.68,,
04/06/2013,0.54,0.87,,
03/06/2013,1,0.74,,
02/06/2013,0,2.89,,
01/06/2013,1.06,0.63,,
31/05/2013,1.06,0.63,,
30/05/2013,1.48,0.58,,
29/05/2013,1.05,0.43,,
28/05/2013,1.2,0.43,,
27/05/2013,1.44,0,,
26/05/2013,1.48,0.52,,
25/05/2013,0,1.72,,
24/05/2013,1.37,0.42,,
23/05/2013,1.24,0.46,,
22/05/2013,1.31,0.41,,
21/05/2013,1.09,0.55,,
20/05/2013,1.17,0.6,,
19/05/2013,1.15,1.34,,
18/05/2013,1.62,0,,
17/05/2013,1.27,0.44,,
16/05/2013,1.36,0.47,,
15/05/2013,1.19,0.59,,
14/05/2013,1.34,0.35,,
13/05/2013,1.14,0.41,,
12/05/2013,0,1.57,,
11/05/2013,0.84,0.87,,
10/05/2013,1,0.46,,
09/05/2013,0.86,0.81,,
08/05/2013,1.37,0.4,,
07/05/2013,1.2,0.64,,
06/05/2013,1.36,0.49,,
05/05/2013,0.28,0.72,,
04/05/2013,2.61,0,,
03/05/2013,1.06,0.37,,
02/05/2013,1.35,0.29,,
01/05/2013,0.9,0.62,,
30/04/2013,1.04,0.65,,
29/04/2013,1.14,0.55,,
28/04/2013,1.26,0,,
27/04/2013,0.75,0,,
26/04/2013,0.44,0.98,,
25/04/2013,0.97,0.67,,
24/04/2013,1.01,0.65,,
23/04/2013,1.37,0.6,,
22/04/2013,1.06,0.62,,
21/04/2013,0,2,,
20/04/2013,0.69,0.75,,
19/04/2013,1.19,0.23,,
18/04/2013,1.11,0.75,,
17/04/2013,1.09,0.84,,
16/04/2013,1.12,0.87,,
15/04/2013,1.12,0.95,,
14/04/2013,1.63,0,,
13/04/2013,2,0,,
12/04/2013,1.15,0.28,,
11/04/2013,1.29,0.39,,
10/04/2013,1.23,0.62,,
09/04/2013,1.03,0.31,,
08/04/2013,1.3,0.5,,
07/04/2013,0.67,1.39,,
06/04/2013,0.71,0.65,,
05/04/2013,1.07,0.76,,
04/04/2013,1.35,0.44,,
03/04/2013,1.11,0.88,,
02/04/2013,1.41,0.42,,
01/04/2013,0.82,0.62,,
31/03/2013,1.28,0.48,,
30/03/2013,1.53,0,,
29/03/2013,2.05,0,,
28/03/2013,0.9,0.85,,
27/03/2013,1.13,0.6,,
26/03/2013,0.96,0.55,,
25/03/2013,1.21,0.75,,
24/03/2013,2.11,0,,
23/03/2013,1.39,0.57,,
22/03/2013,1.38,0.33,,
21/03/2013,0.95,0.58,,
20/03/2013,1.19,0.56,,
19/03/2013,1.23,0.46,,
18/03/2013,1.33,0.47,,
17/03/2013,0.81,0.77,,
16/03/2013,0.59,0.33,,
15/03/2013,1.54,0.45,,
14/03/2013,1.09,0.63,,
13/03/2013,1.26,0.42,,
12/03/2013,0.98,0.6,,
11/03/2013,1.53,0.23,,
10/03/2013,1.51,0.67,,
09/03/2013,1.11,0.69,,
08/03/2013,1.4,0.69,,
07/03/2013,1.46,0.44,,
06/03/2013,1.56,0.42,,
05/03/2013,1.15,0.68,,
04/03/2013,1.22,0.52,,
03/03/2013,0.71,1.34,,
02/03/2013,1.46,0,,
01/03/2013,1.16,0.65,,
28/02/2013,1.11,0.88,,
27/02/2013,1.62,0.25,,
26/02/2013,1.06,0.68,,
25/02/2013,1.16,0.58,,
24/02/2013,1.29,1.18,,
23/02/2013,1.01,0.48,,
22/02/2013,1.22,0.7,,
21/02/2013,1.11,0.62,,
20/02/2013,1.02,0.71,,
19/02/2013,1.37,0.62,,
18/02/2013,0.92,0.94,,
17/02/2013,2.21,0,,
16/02/2013,0.31,0.7,,
15/02/2013,0.88,1.03,,
14/02/2013,1.32,0.53,,
13/02/2013,1.27,0.5,,
12/02/2013,1.22,0.57,,
11/02/2013,1.46,0.37,,
10/02/2013,0.89,0.57,,
09/02/2013,0.45,1.41,,
08/02/2013,1.06,0.35,,
07/02/2013,1.27,0.44,,
06/02/2013,1.32,0.48,,
05/02/2013,1.5,0.35,,
04/02/2013,1.33,0.48,,
03/02/2013,1.38,0.33,,
02/02/2013,1.52,0.35,,
01/02/2013,1.06,0.65,,
31/01/2013,1.08,0.4,,
30/01/2013,1.13,0.5,,
29/01/2013,1.3,0.34,,
28/01/2013,1.63,0.34,,
27/01/2013,1.5,0,,
26/01/2013,0.91,0.82,,
25/01/2013,1.33,0.44,,
24/01/2013,1.27,0.68,,
23/01/2013,1.17,0.59,,
22/01/2013,1.6,0.33,,
21/01/2013,0.59,0.88,,
20/01/2013,0.43,0.46,,
19/01/2013,1.82,0.33,,
18/01/2013,0.81,0.79,,
17/01/2013,1.18,0.66,,
16/01/2013,1.14,0.46,,
15/01/2013,1.24,0.42,,
14/01/2013,0.89,0.91,,
13/01/2013,1.73,0.11,,
12/01/2013,1.36,0.22,,
11/01/2013,1.21,0.5,,
10/01/2013,1.29,0.77,,
09/01/2013,1.08,0.79,,
08/01/2013,1.12,0.81,,
07/01/2013,1.42,0.52,,
06/01/2013,1.82,0.21,,
05/01/2013,1.48,0.8,,
04/01/2013,1.4,0.58,,
03/01/2013,1.55,0.35,,
02/01/2013,1.38,0.4,,
01/01/2013,1.59,0.17,,
31/12/2012,1.66,0.43,,
30/12/2012,1.16,0.47,,
29/12/2012,1.66,0.12,,
28/12/2012,1.3,0.8,,
27/12/2012,1.4,0.35,,
26/12/2012,1.53,0.5,,
25/12/2012,1.57,0,,
24/12/2012,1.29,0.36,,
23/12/2012,0.41,0.24,,
22/12/2012,1.15,0.67,,
21/12/2012,1.1,0.61,,
20/12/2012,1.04,0.84,,
19/12/2012,1.22,0.55,,
18/12/2012,1.63,0.3,,
17/12/2012,1.68,0.25,,
16/12/2012,2.16,0,,
15/12/2012,2.34,0,,
14/12/2012,1.24,0.26,,
13/12/2012,1.14,0.78,,
12/12/2012,1.34,0.32,,
11/12/2012,1.2,0.45,,
10/12/2012,1.65,0.24,,
09/12/2012,1.18,0,,
08/12/2012,1.57,0.5,,
07/12/2012,1.25,0.4,,
06/12/2012,1.15,0.54,,
05/12/2012,1.43,0.54,,
04/12/2012,1.2,0.44,,
03/12/2012,1.19,0.6,,
02/12/2012,1.88,0,,
01/12/2012,1.63,0.25,,
30/11/2012,1.59,0.46,,
